player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,RS,TOR,2328,1140,-2.442458528,0.605967533,-1.836490995,1.583853982,-3.756531688,-2.172677706,-1.77117981,-0.283672608,-2.054852418,0.400487529,0.400487529,0,-1.867986323,-0.182805936,-2.050792258,-0.956064831
Steven Adams,adamsst01,2023,RS,MEM,2391,1133,-0.539148559,4.174472679,3.63532412,4.196019485,0.186158574,4.38217806,0.416278908,3.550985038,3.967263946,3.892111052,3.892111052,0,0.025096797,3.570023674,3.595120472,0.237905356
Bam Adebayo,adebaba01,2023,PO,MIA,1681,850,-2.042951574,1.343184934,-0.699766641,0.576724929,3.9555257,4.53225063,-1.667750413,1.933159611,0.265409198,1.342984023,0,1.342984023,-0.347436401,2.167668642,1.820232241,-0.415819766
Bam Adebayo,adebaba01,2023,RS,MIA,5252,2598,-1.861595555,2.663534112,0.801938557,1.906596618,2.212168609,4.118765227,-1.154757719,2.718460298,1.563702579,5.692163679,5.692163679,0,-0.957159196,2.658545268,1.701386071,-0.452741158
Ochai Agbaji,agbajoc01,2023,RS,UTA,2604,1209,-1.323937715,-2.198396043,-3.522333759,0.637793414,-0.569348821,0.068444593,-1.010695667,-1.964926572,-2.97562224,-0.139469098,-0.139469098,0,-1.14586496,-2.506387133,-3.652252093,0.216215922
Santi Aldama,aldamsa01,2023,PO,MEM,216,101,1.17721768,-4.883401823,-3.706184143,3.751935114,-11.31583939,-7.563904279,1.885518274,-6.540860519,-4.655342246,-0.100865666,0,-0.100865666,0.556519175,-7.733596135,-7.177076959,-0.383583963
Santi Aldama,aldamsa01,2023,RS,MEM,3608,1682,-1.154400886,-0.139501149,-1.293902035,-0.403942482,-0.740155458,-1.14409794,-1.074280306,-0.324344753,-1.398625058,1.159520292,1.159520292,0,-1.353368147,0.287605471,-1.065762676,-0.014862369
Nickeil Alexander-Walker,alexani01,2023,PO,MIN,292,148,0.14154224,8.968610109,9.110152349,1.675756209,13.22208555,14.89784176,0.498181597,10.46812043,10.96630202,1.063356234,0,1.063356234,-0.75768966,11.96972598,11.21203632,-0.444068717
Nickeil Alexander-Walker,alexani01,2023,RS,MIN,771,356,-0.665278864,2.285225307,1.619946443,-0.673429757,-1.162650635,-1.836080392,-0.697540465,1.689878487,0.992338022,0.679977462,0.679977462,0,-0.987688002,0.789648608,-0.198039393,0.03743723
Nickeil Alexander-Walker,alexani01,2023,RS,UTA,1122,528,0.305685304,4.07516673,4.380852035,-2.334215811,1.783298278,-0.550917533,-0.242009449,3.878548646,3.636539197,1.736579956,1.736579956,0,0.705422142,2.869344925,3.574767067,0.94679047
Grayson Allen,allengr01,2023,PO,MIL,320,149,2.12666933,-2.307842109,-0.181172779,5.206378478,-2.926194776,2.280183702,2.860121634,-2.473612966,0.386508667,0.247124255,0,0.247124255,2.370093929,-5.148293055,-2.778199127,0.482609005
Grayson Allen,allengr01,2023,RS,MIL,4214,1972,-0.209479539,0.431682929,0.222203389,0.168458943,-0.326563174,-0.158104231,-0.140704042,0.242679824,0.101975783,2.880050069,2.880050069,0,0.109819024,0.358268988,0.468088012,0.374135535
Jarrett Allen,allenja01,2023,PO,CLE,364,191,-1.615437054,1.290935558,-0.324501497,9.101663999,-4.996394791,4.105269208,0.592073861,-0.008999668,0.583074193,0.327436082,0,0.327436082,-1.933484539,-0.764188433,-2.697672972,-2.211050968
Jarrett Allen,allenja01,2023,RS,CLE,4469,2220,-1.311163953,1.654456507,0.343292554,2.835205735,2.200632782,5.035838517,-0.539437353,1.805442886,1.266005533,4.528900772,4.528900772,0,-0.219657131,2.517666938,2.298009807,-0.439438216
Jose Alvarado,alvarjo01,2023,RS,NOP,2778,1310,0.039258347,1.396093695,1.435352042,-0.677184551,3.379530873,2.702346323,-0.103565847,1.865416284,1.761850437,3.025179269,3.025179269,0,-0.424834786,1.927231591,1.502396805,0.322323361
Kyle Anderson,anderky01,2023,PO,MIN,214,104,-1.617480481,-0.316271018,-1.933751499,-7.512187248,-1.394593526,-8.906780774,-2.914574785,-0.506127169,-3.420701954,-0.037286922,0,-0.037286922,-3.280237466,2.512700575,-0.767536892,1.557570398
Kyle Anderson,anderky01,2023,RS,MIN,4145,1957,0.005730514,1.336546438,1.342276952,1.998162862,0.51313788,2.511300742,0.436028117,1.234038346,1.670066462,4.395997187,4.395997187,0,-0.265775612,1.242597107,0.976821495,-0.394941827
Giannis Antetokounmpo,antetgi01,2023,PO,MIL,204,91,-3.587460259,-7.107604891,-10.69506515,-10.53870259,2.624312164,-7.914390427,-5.296677162,-5.377618898,-10.67429606,-0.390002051,0,-0.390002051,-3.891641193,-7.91081888,-11.80246007,2.727820085
Giannis Antetokounmpo,antetgi01,2023,RS,MIL,4370,2024,3.703791798,2.348775993,6.052567791,3.262478623,1.799753479,5.062232103,3.808481988,2.321659915,6.130141903,9.313686034,9.313686034,0,3.793000884,1.649778701,5.442779585,1.581185863
Thanasis Antetokounmpo,antetth01,2023,PO,MIL,11,5,-8.331038267,-16.23097847,-24.56201674,6.870765606,-5.016905228,1.853860378,-5.684817274,-14.62832307,-20.31314035,-0.04542944,0,-0.04542944,-7.078943658,-19.58333507,-26.66227873,-1.653824198
Thanasis Antetokounmpo,antetth01,2023,RS,MIL,449,206,-5.564393506,-3.622843823,-9.18723733,-9.966385269,-8.9827188,-18.94910407,-6.804963739,-5.001733019,-11.80669676,-0.945595409,-0.945595409,0,-5.450646991,-5.199460023,-10.65010701,-0.665309954
Cole Anthony,anthoco01,2023,RS,ORL,3230,1552,1.922171602,-0.598207487,1.323964114,1.709357401,0.226358135,1.935715536,2.036866773,-0.463140241,1.573726531,3.396952856,3.396952856,0,1.469401101,-0.394041452,1.075359649,-0.787305637
